NumRounds	Winrate		LossRate
2980		0.31		0.705
2990		0.31		0.705
3000		0.31		0.705
3010		0.31		0.705
3020		0.31		0.705
3030		0.31		0.705
3040		0.311		0.705
3050		0.31		0.705
3060		0.31		0.705
3070		0.31		0.706
3080		0.31		0.705
3090		0.31		0.705
3100		0.31		0.706
3110		0.309		0.707
3120		0.309		0.706
3130		0.309		0.706
3140		0.309		0.706
3150		0.309		0.706
3160		0.31		0.706
3170		0.31		0.706
3180		0.31		0.706
3190		0.31		0.706
3200		0.31		0.706
3210		0.31		0.706
3220		0.309		0.706
3230		0.309		0.706
3240		0.311		0.705
3250		0.312		0.704
3260		0.311		0.704
3270		0.311		0.705
3280		0.311		0.705
3290		0.311		0.706
3300		0.312		0.705
3310		0.312		0.705
3320		0.311		0.705
3330		0.312		0.705
3340		0.312		0.705
3350		0.311		0.706
3360		0.312		0.705
3370		0.312		0.705
3380		0.312		0.705
3390		0.312		0.705
3400		0.311		0.705
3410		0.312		0.705
3420		0.312		0.705
3430		0.312		0.704
3440		0.313		0.704
3450		0.313		0.704
3460		0.313		0.704
3470		0.313		0.704
3480		0.313		0.704
3490		0.313		0.704
3500		0.313		0.703
3510		0.313		0.704
3520		0.313		0.704
3530		0.313		0.704
3540		0.313		0.704
3550		0.313		0.704
3560		0.313		0.704
3570		0.313		0.704
3580		0.312		0.704
3590		0.313		0.703
3600		0.314		0.702
3610		0.314		0.702
3620		0.314		0.702
3630		0.315		0.702
3640		0.314		0.703
3650		0.314		0.702
3660		0.314		0.702
3670		0.314		0.702
3680		0.314		0.703
3690		0.314		0.703
3700		0.314		0.702
3710		0.314		0.703
3720		0.314		0.702
3730		0.313		0.703
3740		0.313		0.703
3750		0.313		0.703
3760		0.313		0.703
3770		0.313		0.703
3780		0.314		0.702
3790		0.314		0.702
3800		0.314		0.702
3810		0.314		0.703
3820		0.314		0.703
3830		0.314		0.702
3840		0.314		0.703
3850		0.313		0.703
3860		0.313		0.704
3870		0.313		0.704
3880		0.313		0.704
3890		0.313		0.704
3900		0.313		0.703
3910		0.312		0.704
3920		0.313		0.703
3930		0.313		0.704
3940		0.313		0.703
3950		0.314		0.702
3960		0.315		0.702
3970		0.315		0.702
3980		0.315		0.701
3990		0.316		0.701
numWins1261.0
numLosses2802.0
