NumRounds	Winrate		LossRate
2980		0.058		0.95
2990		0.058		0.95
3000		0.058		0.95
3010		0.058		0.95
3020		0.058		0.95
3030		0.058		0.95
3040		0.058		0.95
3050		0.058		0.95
3060		0.058		0.95
3070		0.058		0.95
3080		0.058		0.95
3090		0.058		0.95
3100		0.058		0.95
3110		0.058		0.95
3120		0.058		0.95
3130		0.058		0.95
3140		0.058		0.95
3150		0.058		0.95
3160		0.058		0.95
3170		0.058		0.95
3180		0.058		0.95
3190		0.058		0.95
3200		0.059		0.949
3210		0.059		0.949
3220		0.059		0.949
3230		0.059		0.949
3240		0.06		0.948
3250		0.059		0.949
3260		0.06		0.949
3270		0.059		0.949
3280		0.059		0.949
3290		0.059		0.949
3300		0.059		0.949
3310		0.059		0.949
3320		0.059		0.949
3330		0.059		0.95
3340		0.059		0.95
3350		0.059		0.95
3360		0.058		0.95
3370		0.058		0.95
3380		0.058		0.95
3390		0.058		0.95
3400		0.058		0.95
3410		0.058		0.95
3420		0.058		0.95
3430		0.058		0.95
3440		0.058		0.95
3450		0.058		0.95
3460		0.058		0.95
3470		0.058		0.95
3480		0.058		0.95
3490		0.058		0.95
3500		0.058		0.95
3510		0.058		0.95
3520		0.057		0.951
3530		0.058		0.95
3540		0.058		0.95
3550		0.058		0.95
3560		0.058		0.95
3570		0.058		0.95
3580		0.058		0.95
3590		0.058		0.95
3600		0.058		0.95
3610		0.058		0.95
3620		0.058		0.951
3630		0.057		0.951
3640		0.057		0.951
3650		0.057		0.951
3660		0.057		0.951
3670		0.057		0.951
3680		0.058		0.95
3690		0.058		0.95
3700		0.058		0.95
3710		0.057		0.95
3720		0.058		0.95
3730		0.057		0.95
3740		0.057		0.951
3750		0.057		0.951
3760		0.057		0.951
3770		0.057		0.951
3780		0.057		0.951
3790		0.057		0.951
3800		0.057		0.951
3810		0.057		0.951
3820		0.057		0.951
3830		0.057		0.951
3840		0.057		0.951
3850		0.056		0.951
3860		0.057		0.951
3870		0.057		0.951
3880		0.058		0.951
3890		0.058		0.95
3900		0.058		0.951
3910		0.057		0.951
3920		0.057		0.951
3930		0.058		0.95
3940		0.058		0.95
3950		0.058		0.95
3960		0.057		0.951
3970		0.058		0.95
3980		0.058		0.95
3990		0.058		0.95
numWins229.0
numLosses3799.0
