NumRounds	Winrate		LossRate
2990		0.06		0.946
3000		0.06		0.946
3010		0.059		0.946
3020		0.06		0.946
3030		0.06		0.946
3040		0.06		0.946
3050		0.06		0.946
3060		0.06		0.946
3070		0.06		0.946
3080		0.06		0.946
3090		0.06		0.946
3100		0.06		0.945
3110		0.061		0.945
3120		0.061		0.945
3130		0.061		0.944
3140		0.061		0.944
3150		0.061		0.944
3160		0.061		0.944
3170		0.062		0.944
3180		0.062		0.944
3190		0.062		0.944
3200		0.062		0.944
3210		0.062		0.944
3220		0.061		0.944
3230		0.062		0.944
3240		0.061		0.944
3250		0.061		0.945
3260		0.061		0.945
3270		0.061		0.944
3280		0.061		0.945
3290		0.061		0.944
3300		0.061		0.945
3310		0.061		0.945
3320		0.061		0.945
3330		0.061		0.945
3340		0.061		0.945
3350		0.061		0.945
3360		0.061		0.945
3370		0.061		0.945
3380		0.061		0.945
3390		0.061		0.945
3400		0.061		0.945
3410		0.061		0.945
3420		0.061		0.945
3430		0.06		0.945
3440		0.06		0.945
3450		0.06		0.946
3460		0.06		0.946
3470		0.06		0.946
3480		0.06		0.945
3490		0.06		0.946
3500		0.06		0.946
3510		0.06		0.946
3520		0.06		0.946
3530		0.06		0.946
3540		0.059		0.946
3550		0.059		0.946
3560		0.06		0.946
3570		0.059		0.946
3580		0.06		0.946
3590		0.059		0.946
3600		0.06		0.946
3610		0.06		0.946
3620		0.059		0.946
3630		0.059		0.946
3640		0.059		0.946
3650		0.06		0.946
3660		0.06		0.945
3670		0.06		0.946
3680		0.06		0.946
3690		0.06		0.946
3700		0.06		0.946
3710		0.06		0.946
3720		0.059		0.946
3730		0.059		0.946
3740		0.059		0.946
3750		0.059		0.946
3760		0.059		0.946
3770		0.059		0.946
3780		0.059		0.946
3790		0.059		0.946
3800		0.059		0.946
3810		0.06		0.946
3820		0.06		0.946
3830		0.059		0.946
3840		0.059		0.946
3850		0.06		0.946
3860		0.059		0.946
3870		0.059		0.946
3880		0.059		0.946
3890		0.059		0.946
3900		0.059		0.946
3910		0.059		0.946
3920		0.059		0.946
3930		0.059		0.946
3940		0.059		0.946
3950		0.059		0.946
3960		0.059		0.946
3970		0.059		0.946
3980		0.059		0.946
3990		0.059		0.946
numWins234.0
numLosses3783.0
