NumRounds	Winrate		LossRate
2980		0.07		0.94
2990		0.069		0.94
3000		0.07		0.94
3010		0.07		0.94
3020		0.07		0.94
3030		0.07		0.94
3040		0.07		0.94
3050		0.069		0.94
3060		0.07		0.94
3070		0.069		0.94
3080		0.069		0.94
3090		0.069		0.94
3100		0.07		0.94
3110		0.07		0.94
3120		0.07		0.94
3130		0.07		0.94
3140		0.07		0.94
3150		0.07		0.939
3160		0.07		0.94
3170		0.069		0.94
3180		0.069		0.94
3190		0.07		0.94
3200		0.07		0.939
3210		0.07		0.94
3220		0.07		0.94
3230		0.069		0.94
3240		0.069		0.94
3250		0.069		0.94
3260		0.069		0.941
3270		0.068		0.941
3280		0.068		0.941
3290		0.068		0.941
3300		0.068		0.941
3310		0.068		0.941
3320		0.068		0.941
3330		0.068		0.942
3340		0.067		0.942
3350		0.067		0.942
3360		0.068		0.941
3370		0.067		0.942
3380		0.067		0.942
3390		0.068		0.941
3400		0.068		0.941
3410		0.068		0.941
3420		0.068		0.941
3430		0.068		0.941
3440		0.068		0.941
3450		0.068		0.941
3460		0.068		0.941
3470		0.068		0.941
3480		0.068		0.941
3490		0.068		0.941
3500		0.068		0.941
3510		0.068		0.941
3520		0.068		0.941
3530		0.068		0.941
3540		0.068		0.941
3550		0.068		0.941
3560		0.068		0.941
3570		0.068		0.942
3580		0.067		0.942
3590		0.067		0.942
3600		0.067		0.942
3610		0.067		0.942
3620		0.067		0.942
3630		0.067		0.942
3640		0.067		0.942
3650		0.067		0.942
3660		0.067		0.942
3670		0.067		0.942
3680		0.067		0.942
3690		0.067		0.942
3700		0.067		0.942
3710		0.067		0.942
3720		0.067		0.942
3730		0.067		0.942
3740		0.067		0.941
3750		0.067		0.941
3760		0.067		0.942
3770		0.067		0.942
3780		0.067		0.942
3790		0.067		0.942
3800		0.067		0.942
3810		0.067		0.942
3820		0.067		0.942
3830		0.067		0.942
3840		0.066		0.942
3850		0.066		0.942
3860		0.066		0.942
3870		0.066		0.943
3880		0.066		0.943
3890		0.066		0.943
3900		0.066		0.943
3910		0.066		0.943
3920		0.066		0.943
3930		0.066		0.943
3940		0.066		0.943
3950		0.065		0.943
3960		0.066		0.943
3970		0.066		0.943
3980		0.065		0.943
3990		0.065		0.943
numWins260.0
numLosses3770.0
