NumRounds	Winrate		LossRate
2980		0.346		0.66
2990		0.346		0.66
3000		0.347		0.659
3010		0.347		0.659
3020		0.347		0.659
3030		0.346		0.66
3040		0.346		0.66
3050		0.346		0.66
3060		0.345		0.66
3070		0.345		0.661
3080		0.345		0.661
3090		0.345		0.66
3100		0.346		0.66
3110		0.346		0.66
3120		0.346		0.66
3130		0.346		0.66
3140		0.347		0.66
3150		0.348		0.658
3160		0.349		0.657
3170		0.349		0.657
3180		0.349		0.657
3190		0.35		0.656
3200		0.349		0.657
3210		0.349		0.657
3220		0.349		0.657
3230		0.349		0.657
3240		0.349		0.657
3250		0.348		0.658
3260		0.348		0.658
3270		0.348		0.658
3280		0.348		0.658
3290		0.348		0.658
3300		0.349		0.658
3310		0.348		0.658
3320		0.349		0.657
3330		0.348		0.658
3340		0.348		0.658
3350		0.348		0.658
3360		0.348		0.659
3370		0.348		0.658
3380		0.347		0.659
3390		0.348		0.658
3400		0.348		0.659
3410		0.347		0.659
3420		0.348		0.659
3430		0.348		0.659
3440		0.347		0.66
3450		0.347		0.66
3460		0.347		0.66
3470		0.347		0.659
3480		0.347		0.66
3490		0.347		0.66
3500		0.348		0.659
3510		0.347		0.66
3520		0.347		0.659
3530		0.347		0.66
3540		0.347		0.66
3550		0.347		0.66
3560		0.347		0.66
3570		0.347		0.659
3580		0.348		0.659
3590		0.349		0.659
3600		0.349		0.658
3610		0.349		0.659
3620		0.348		0.659
3630		0.347		0.66
3640		0.347		0.66
3650		0.347		0.66
3660		0.347		0.66
3670		0.347		0.66
3680		0.346		0.661
3690		0.346		0.661
3700		0.345		0.662
3710		0.345		0.662
3720		0.344		0.662
3730		0.344		0.663
3740		0.345		0.662
3750		0.344		0.662
3760		0.345		0.662
3770		0.344		0.663
3780		0.345		0.662
3790		0.345		0.662
3800		0.345		0.662
3810		0.344		0.663
3820		0.344		0.663
3830		0.345		0.662
3840		0.344		0.663
3850		0.344		0.663
3860		0.345		0.663
3870		0.345		0.662
3880		0.345		0.662
3890		0.346		0.662
3900		0.346		0.661
3910		0.346		0.662
3920		0.346		0.662
3930		0.346		0.662
3940		0.345		0.663
3950		0.345		0.663
3960		0.346		0.662
3970		0.345		0.662
3980		0.345		0.662
3990		0.345		0.662
numWins1379.0
numLosses2647.0
